source_url,proposed_target,status
https://aisi.edu.ge/%e1%83%a2%e1%83%95%e1%83%98%e1%83%9c%e1%83%94%e1%83%91%e1%83%98%e1%83%a1-%e1%83%91%e1%83%a0%e1%83%ab%e1%83%9d%e1%83%9a%e1%83%90/,/news/2262,review_before_301
https://aisi.edu.ge/%e1%83%90-%e1%83%95-%e1%83%a2-%e1%83%9d-%e1%83%a0-%e1%83%98-%e1%83%96-%e1%83%90-%e1%83%aa-%e1%83%98-%e1%83%90/,/news/2258,review_before_301
https://aisi.edu.ge/%e1%83%a9%e1%83%95%e1%83%94%e1%83%9c-%e1%83%a7%e1%83%95%e1%83%94%e1%83%9a%e1%83%90%e1%83%9c%e1%83%98-%e1%83%92%e1%83%90%e1%83%9c%e1%83%a1%e1%83%ae%e1%83%95%e1%83%90%e1%83%95%e1%83%94%e1%83%91%e1%83%a3/,/news/2251,review_before_301
https://aisi.edu.ge/%e1%83%99%e1%83%94%e1%83%a0%e1%83%ab%e1%83%9d-%e1%83%a1%e1%83%99%e1%83%9d%e1%83%9a%e1%83%90-%e1%83%90%e1%83%98%e1%83%a1%e1%83%98-%e1%83%93%e1%83%90-ism-university-of-management-and-economics/,/news/2200,review_before_301
https://aisi.edu.ge/guest-interview-will-occur-soon/,/news/38,review_before_301
https://aisi.edu.ge/new-exam-schedules-for-diploma/,/news/37,review_before_301
https://aisi.edu.ge/summer-course-starts-from-1st-june/,/news/39,review_before_301
https://aisi.edu.ge/uk-students-celebrate-increase-in-top-a-level-marks/,/news/40,review_before_301
https://aisi.edu.ge/harvard-university-tops-the-shanghai-ranking-again/,/news/36,review_before_301
https://aisi.edu.ge/oxford-university-applications-fall-by-4/,/news/35,review_before_301
https://aisi.edu.ge/economics-graduates-are-paid-the-highest-salaries/,/news/34,review_before_301
https://aisi.edu.ge/biggest-exam-mistakes-of-the-year/,/news/33,review_before_301
https://aisi.edu.ge/us-student-loan-forgiveness-program-may-be-cancelled/,/news/32,review_before_301
https://aisi.edu.ge/uk-universities-to-offer-shorter-courses-for-higher-annual-fees/,/news/31,review_before_301
https://aisi.edu.ge/report-reveals-worlds-250-top-business-schools/,/news/30,review_before_301
https://aisi.edu.ge/tuition-fees-at-english-universities-to-increase-in-2015/,/news/13,review_before_301
https://aisi.edu.ge/courses/build-a-full-web-chat-app-from-scratch/,/documents/legacy-1a566f07ef8a,review_before_301
https://aisi.edu.ge/courses/create-a-spotify-clone-from-scratch/,/documents/legacy-b2fc7f96be4b,review_before_301
https://aisi.edu.ge/courses/hands-on-with-docker-from-a-docker-captain/,/documents/legacy-943817c0b772,review_before_301
https://aisi.edu.ge/courses/kotlin-for-java-developers/,/documents/legacy-dc1b5e0ae974,review_before_301
https://aisi.edu.ge/courses/learn-php-programming-from-scratch/,/documents/legacy-7239ed776a79,review_before_301
https://aisi.edu.ge/courses/learning-python-for-data-analysis-and-visualization/,/documents/legacy-c4490c8f3987,review_before_301
https://aisi.edu.ge/courses/master-microservices-with-spring-boot-and-spring-cloud/,/documents/legacy-20e8b760cbe8,review_before_301
https://aisi.edu.ge/courses/node-with-react-fullstack-web-development/,/documents/legacy-93be296d4254,review_before_301
https://aisi.edu.ge/courses/server-side-rendering-with-react-and-redux/,/documents/legacy-0805c77fe03f,review_before_301
https://aisi.edu.ge/courses/the-complete-javascript-course-beginner-to-advanced/,/documents/legacy-70c5d1338cf4,review_before_301
https://aisi.edu.ge/courses/the-complete-web-developer-course/,/documents/legacy-400b0a84a58b,review_before_301
https://aisi.edu.ge/event/basis-international-award-night/,/documents/legacy-8e462c73c22b,review_before_301
https://aisi.edu.ge/event/cyclebar-uptown-grand-opening/,/documents/legacy-8dbb26da0065,review_before_301
https://aisi.edu.ge/event/national-capital-leadership-2018/,/documents/legacy-c2c309295ff4,review_before_301
https://aisi.edu.ge/event/northwest-snow-and-avalanche-workshop/,/documents/legacy-36bc727fc1d2,review_before_301
https://aisi.edu.ge/event/sat-implementation-workshops-november-2018/,/documents/legacy-6072fdb8f58a,review_before_301
https://aisi.edu.ge/event/ted-talks-at-ucf-college-of-education/,/documents/legacy-d3f746ce7f5e,review_before_301
https://aisi.edu.ge/event/კერძო-სკოლა-აისი-და-ism-university-of-management-and-e/,/documents/legacy-ca0b723d7c8b,review_before_301
https://aisi.edu.ge/instructor/david-lee/,/teachers/legacy-c5185329b22a,review_before_301
https://aisi.edu.ge/instructor/daziy-millar/,/teachers/legacy-7eefa0c666d0,review_before_301
https://aisi.edu.ge/instructor/mike-hussy/,/teachers/legacy-829d3f49b365,review_before_301
https://aisi.edu.ge/instructor/rosy-janner/,/teachers/legacy-383b45b1fbdb,review_before_301
https://aisi.edu.ge/instructor/tom-steven/,/teachers/legacy-5602bea231e6,review_before_301
https://aisi.edu.ge/instructor/ბელა-ლაცაბიძე/,/teachers/legacy-d0b148b6a058,review_before_301
https://aisi.edu.ge/instructor/გუგული-ფერაძე/,/teachers/legacy-c229d957adc2,review_before_301
https://aisi.edu.ge/instructor/ეკატერინე-ჩხაიძე/,/teachers/legacy-1c1eda501d79,review_before_301
https://aisi.edu.ge/instructor/თამარ-სვანიძე/,/teachers/legacy-cfcfba8e6623,review_before_301
https://aisi.edu.ge/instructor/ლიკა-ზვიადაძე/,/teachers/legacy-d52679bf7d3e,review_before_301
https://aisi.edu.ge/instructor/მარიამ-ჩაჩანიძე/,/teachers/legacy-14a4fc7cecc8,review_before_301
https://aisi.edu.ge/instructor/ნათია-ჯაშიაშვილი/,/teachers/legacy-c62eefd337cf,review_before_301
https://aisi.edu.ge/instructor/საბა-ჟღენტი/,/teachers/legacy-5bce38314a05,review_before_301
https://aisi.edu.ge/instructor/სალომე-გურული/,/teachers/legacy-ff7cea6e76af,review_before_301
https://aisi.edu.ge/instructor/სოფიკო-დრიაშვილი/,/teachers/legacy-b18cafc9321b,review_before_301
https://aisi.edu.ge/instructor/სოფიკო-ტატულაშვილი/,/teachers/legacy-928a07489982,review_before_301
https://aisi.edu.ge/instructor/ფატი-კვერნაძე/,/teachers/legacy-ba514f475744,review_before_301
https://aisi.edu.ge/research/i/,/documents/legacy-c5cc405b3082,review_before_301
https://aisi.edu.ge/research/ii/,/documents/legacy-8043fc76a20f,review_before_301
https://aisi.edu.ge/research/iii/,/documents/legacy-5d8f4a7f061a,review_before_301
https://aisi.edu.ge/research/iv/,/documents/legacy-442d13f71bea,review_before_301
https://aisi.edu.ge/research/ix/,/documents/legacy-13068b385fbb,review_before_301
https://aisi.edu.ge/research/v/,/documents/legacy-feeba09a5281,review_before_301
https://aisi.edu.ge/research/vi/,/documents/legacy-5449dab6cce4,review_before_301
https://aisi.edu.ge/research/vii/,/documents/legacy-464be0444d52,review_before_301
https://aisi.edu.ge/research/viii/,/documents/legacy-06677a7cb4c8,review_before_301
https://aisi.edu.ge/research/x/,/documents/legacy-fceebe3d19f9,review_before_301
https://aisi.edu.ge/research/xi/,/documents/legacy-fb14bc5b5f7a,review_before_301
https://aisi.edu.ge/research/xii/,/documents/legacy-9bfd08346808,review_before_301
